imdb_id,title,director,director_gender,box_office
tt3948240,Second Hand Husband,Smeep Kang,male,
tt2255934,Aiyyaa,Sachin Kundalkar,male,₹9.58 crore[1]
tt6537508,Behen Hogi Teri,Ajay K Pannanlal,male,₹2.76 crore[2]
tt4857886,Do Lafzon Ki Kahani,Deepak Tijori,male,₹40 million[1]
tt2158633,Married 2 America,,,
tt3142688,Finding Fanny,Homi Adajania,male,est. ₹50.61 crore[3]
tt1728239,Double Dhamaal,Indra Kumar,male,₹ 70.54 crore[1]
tt3431714,Mastram,Akhilesh Jaiswal,male,est. ₹4.5 crore[1]
tt2140465,Tanu Weds Manu Returns,Aanand L. Rai,male,est. ₹255.3 crore[3]
tt2188811,Luv U Soniyo,Joe Rajan,male,"₹27 million (US$320,000)[1]"
tt1607607,Mittal v/s Mittal,Karan Razdan,male,
tt2171454,Zila Ghaziabad,Anand Kumar,male,
tt1848771,Aarakshan,Prakash Jha,male,₹645 million (US$7.6 million)[2]
tt3796006,ROAR: Tigers of the Sundarbans,Kamal Sadanah,male,
tt1954598,Ladies vs. Ricky Bahl,Maneesh Sharma,male,₹49.4 crore[2]
tt7743400,Jhalki,Brahmanand S. Singh,male,
tt1629376,7 Khoon Maaf,Vishal Bhardwaj,male,₹33 crore (US$3.9 million)[3]
tt4467262,Katti Batti,Nikkhil Advani,male,
tt3863552,Bajrangi Bhaijaan,Kabir Khan,male,₹918.18 crore[3]
tt5542802,Raabta,Dinesh Vijan,male,₹39.05 crore
tt3854246,Bazaar E Husn,,,
tt2140465,Tanu Weds Manu Returns,Aanand L. Rai,male,est. ₹255.3 crore[3]
tt1194236,Get Educated: Paathshaala,Milind Ukey,male,₹ 17 crore[2]
tt2073070,Saheb Biwi Aur Gangster,Tigmanshu Dhulia,male,₹107.5 million[2]
tt1573482,Striker,Chandan Arora,male,
tt10816510,P Se Pyaar F Se Faraar,Manoj Tiwari,male,
tt6334874,Coffee with D,Vishal Mishra,male,₹72 lakh[1]
tt1784589,Players,Abbas Alibhai Burmawalla,male,₹455.2 million[3]
tt5909308,Days of Tafree,Krishnadev Yagnik,male,₹19.8 crores
tt3021244,Chaarfutiya Chhokare,Manish Harishankar,male,
tt4358344,Rough Book,Ananth Narayan Mahadevan,male,
tt2094854,Inkaar,Sudhir Mishra,male,₹100.2 million (US$1.2 million)[1]
tt3640942,Koyelaanchal,Ashu Trikha,male,
tt2106537,Matru ki Bijlee ka Mandola,Vishal Bhardwaj,male,₹31.15 crore (US$3.7 million)[1]
tt2615584,Phata Poster Nikhla Hero,Rajkumar Santoshi,male,est. ₹72 crore[2]
tt8458202,Pihu,Vinod Kapri,male,₹2.95 crore[1]
tt5474042,Half Girlfriend,Mohit Suri,male,₹97.7 crore[3]
tt2359810,Raanjhanaa,Aanand L. Rai,male,est. ₹105 crore[2]
tt2461132,Happy New Year,Farah Khan,female,₹342 crore[4]
tt3679000,Any Body Can Dance 2,Remo D'Souza,male,est. ₹167 crore[1]
tt1455816,Prince,Kookie Gulati,male,₹480 million (according to 2020 ₹100 billion)
tt4354740,Dharam Sankat Mein,Fuwad Khan,male,
tt5472374,Meri Pyaari Bindu,Akshay Roy,male,₹17.79 crores[1]
tt3001638,Mary Kom,Omung Kumar,male,est. ₹86.19 crore[2]
tt4659548,Rebellious Flower,Krishan Hooda,male,
tt2246595,Blood Money,Vishal Mahadkar,male,₹120 million
tt10443846,Yeh Saali Aashiqui,Cherag Ruparel,male,
tt1826051,Yeh Dooriyan,Deepshika Nagpal,female,
tt2429640,Murder 3,Vishesh Bhatt,male,est. ₹27.75 crore[2]
tt3531604,Gang of Ghosts,Satish Kaushik,male,
tt2321492,Krishna Aur Kans,Vikram Veturi,male,
