imdb_id,original_title,poster_path
tt3948240,Second Hand Husband,data\posters\tt3948240.jpg
tt2255934,Aiyyaa,data\posters\tt2255934.jpg
tt6537508,Behen Hogi Teri,data\posters\tt6537508.jpg
tt4857886,Do Lafzon Ki Kahani,data\posters\tt4857886.jpg
tt3142688,Finding Fanny,data\posters\tt3142688.jpg
tt1728239,Double Dhamaal,data\posters\tt1728239.jpg
tt3431714,Mastram,data\posters\tt3431714.jpg
tt2140465,Tanu Weds Manu Returns,data\posters\tt2140465.jpg
tt2188811,Luv U Soniyo,data\posters\tt2188811.jpg
tt1607607,Mittal v/s Mittal,data\posters\tt1607607.jpg
tt2171454,Zila Ghaziabad,data\posters\tt2171454.jpg
tt1848771,Aarakshan,data\posters\tt1848771.jpg
tt3796006,ROAR: Tigers of the Sundarbans,data\posters\tt3796006.jpg
tt1954598,Ladies vs. Ricky Bahl,data\posters\tt1954598.jpg
tt7743400,Jhalki,data\posters\tt7743400.jpg
tt1629376,7 Khoon Maaf,data\posters\tt1629376.jpg
tt4467262,Katti Batti,data\posters\tt4467262.jpg
tt3863552,Bajrangi Bhaijaan,data\posters\tt3863552.jpg
tt5542802,Raabta,data\posters\tt5542802.jpg
tt3854246,Bazaar E Husn,data\posters\tt3854246.jpg
tt2140465,Tanu Weds Manu Returns,data\posters\tt2140465.jpg
tt1194236,Get Educated: Paathshaala,data\posters\tt1194236.jpg
tt2073070,Saheb Biwi Aur Gangster,data\posters\tt2073070.jpg
tt1573482,Striker,data\posters\tt1573482.jpg
tt10816510,P Se Pyaar F Se Faraar,data\posters\tt10816510.jpg
tt6334874,Coffee with D,data\posters\tt6334874.jpg
tt1784589,Players,data\posters\tt1784589.jpg
tt5909308,Days of Tafree,data\posters\tt5909308.jpg
tt3021244,Chaarfutiya Chhokare,data\posters\tt3021244.jpg
tt4358344,Rough Book,data\posters\tt4358344.jpg
tt2094854,Inkaar,data\posters\tt2094854.jpg
tt3640942,Koyelaanchal,data\posters\tt3640942.jpg
tt2106537,Matru ki Bijlee ka Mandola,data\posters\tt2106537.jpg
tt2615584,Phata Poster Nikhla Hero,data\posters\tt2615584.jpg
tt8458202,Pihu,data\posters\tt8458202.jpg
tt5474042,Half Girlfriend,data\posters\tt5474042.jpg
tt2359810,Raanjhanaa,data\posters\tt2359810.jpg
tt2461132,Happy New Year,data\posters\tt2461132.jpg
tt3679000,Any Body Can Dance 2,data\posters\tt3679000.jpg
tt1455816,Prince,data\posters\tt1455816.jpg
tt4354740,Dharam Sankat Mein,data\posters\tt4354740.jpg
tt5472374,Meri Pyaari Bindu,data\posters\tt5472374.jpg
tt3001638,Mary Kom,data\posters\tt3001638.jpg
tt4659548,Rebellious Flower,data\posters\tt4659548.jpg
tt2246595,Blood Money,data\posters\tt2246595.jpg
