title_x,imdb_id,poster_path,wiki_link,title_y,original_title,is_adult,year_of_release,runtime,genres,imdb_rating,imdb_votes,story,summary,tagline,actors,wins_nominations,release_date
Second Hand Husband,tt3948240,https://upload.wikimedia.org/wikipedia/en/thumb/9/98/Second_Hand_Husband_-_Poster.jpg/220px-Second_Hand_Husband_-_Poster.jpg,https://en.wikipedia.org/wiki/Second_Hand_Husband,Second Hand Husband,Second Hand Husband,0.0,2015,105,Comedy,3.8,141.0,Gurpreet and Rajbir are in love and want to marry each other. The only thing stopping them is the alimony that Rajbir has to pay every month to his ex-wife  Neha. Gurpreet  being a lawyer  is aware that the alimony needs to be paid only till Neha gets married to somebody else. Thus  begins the two lovers' journey to find a suitable groom for Rajbir's ex-wife! Their comic journey goes through various twists and turns and finally culminates at a point where Rajbir's boss  Ajit Singh (Dharmendra)  gets into trouble with his wife because of his flirtatious ways. What is the special in the special appearance of Mr. Aman Pathela and Is there a ray of hope here for Gurpreet and Rajbir? Can they manipulate their way out of this mess?,Gurpreet and Rajbir are in love and want to marry each other. The only thing stopping them is the alimony that Rajbir has to pay every month to his ex-wife  Neha. Gurpreet  being a lawyer  ...                    ,,Dharmendra|Vijay Raaz|Sanjay Mishra|Gippy Grewal|Ravi Kishan|Alok Nath|Gurpreet Ghuggi|Rati Agnihotri|Supriya Karnik|Geeta Basra|Tina Ahuja|Mukesh Tiwari|Karamjit Anmol|Rubina|,,3 July 2015 (India)
Aiyyaa,tt2255934,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Aiyyaa_poster.jpg/220px-Aiyyaa_poster.jpg,https://en.wikipedia.org/wiki/Aiyyaa,Aiyyaa,Aiyyaa,0.0,2012,152,Comedy|Romance,4.3,1571.0,Wildly imaginative and film-obsessed  Meenakshi Deshpande has an extra sensitive nose. After she is hired to work in a local college's library  she catches a wonderful scent in the air. The source is Surya  a handsome and enigmatic art student from a Tamil family. Meanwhile  Meenakshi's eccentric Marathi family has arranged for her marriage to Madhav  a kind and sensible man. Meenakshi is torn between marrying her parents' choice for a seemingly ideal husband  or following her nose and chasing the hunky stranger who may or may not be all that he seems.,A woman goes on the hunt for her dream man  armed with her wild imagination  her passion for Masala-films  and her ultra-sensitive sense of smell.,Go wakda (Go crooked/wacky),Rani Mukerji|Prithviraj Sukumaran|Nirmiti Sawant|Subodh Bhave|Jyoti Subhash|Satish Alekar|Anita Date|Amey Wagh|Kishori Ballal|Thamizh|Shubhangi Damle|Umesh Kulkarni|Suraj Satav|Prashant Tapaswi|,4 nominations,12 October 2012 (India)
Behen Hogi Teri,tt6537508,https://upload.wikimedia.org/wikipedia/en/thumb/c/c0/Behen_Hogi_Teri_poster.jpg/220px-Behen_Hogi_Teri_poster.jpg,https://en.wikipedia.org/wiki/Behen_Hogi_Teri,Behen Hogi Teri,Behen Hogi Teri,0.0,2017,128,Comedy,5.5,1514.0,Gattu (Rajkummar Rao) has a problem  he loves Binny (Shruti Haasan) who lives in their neighborhood. But everyone says that the girls of the neighborhood should be treated as own sister or mother. So no one considers Gattu as a potential groom for Binny  rather gives him tasks which are usually done by a brother for his sister. Binny is also very mischievous  she is not committing to Gattu entirely. Now we have to watch how Gattu convinces both Binny and the neighborhood.,Gattu (Rajkummar Rao) has a problem  he loves Binny (Shruti Haasan) who lives in their neighborhood. But everyone says that the girls of the neighborhood should be treated as own sister or ...                    ,,Rajkummar Rao|Shruti Haasan|Gautam Gulati|Darshan Jariwala|Ninad Kamat|Ranjeet|,,9 June 2017 (India)
Do Lafzon Ki Kahani (film),tt4857886,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Do_Lafzon_Ki_Kahani_Poster.jpg/220px-Do_Lafzon_Ki_Kahani_Poster.jpg,https://en.wikipedia.org/wiki/Do_Lafzon_Ki_Kahani_(film),Do Lafzon Ki Kahani,Do Lafzon Ki Kahani,0.0,2016,128,Action|Drama|Romance,6.4,1201.0,Centered on ex-mixed martial arts artist Sooraj (Randeep Hooda) and sculptor artist Jenny (Kajal Aggarwal). Their fate intertwines when their past are revealed in their blooming relationship.,Centered on ex-mixed martial arts artist Sooraj (Randeep Hooda) and sculptor artist Jenny (Kajal Aggarwal). Their fate intertwines when their past are revealed in their blooming relationship.,,Kajal Aggarwal|Anil George|Randeep Hooda|Snehal Kulshreshtha|Mamik Singh|,,10 June 2016 (India)
Married 2 America,tt2158633,,https://en.wikipedia.org/wiki/Married_2_America,Married 2 America,Married 2 America,0.0,2012,\N,Thriller,4.3,14.0,Ravi Malhotra  an NRI living in the US  works for the mighty Larson & Jason  a US based multinational  which builds huge civil projects throughout the world like dams & bridges. One of its recent contracts was in India  the Dharbhanga Dam project in Bihar at District Saurabhpur... it was planned & executed with a hundred year warranty  by their top architect & engineer Ravi Malhotra. But within a few years three of the dam's gates are burst open  leaving hundreds of people dead  thousands are rendered homeless & public property worth crores washed down in floods. The Indian government is contemplating suing the company for damages worth millions. The company sends Ravi Malhotra to India to probe & investigate what exactly caused the damage. Ravi finds out the shocking truth & hands over the file to the concerned authorities here. Since that night he goes missing. The authorities & the police feel he has escaped to evade arrest as the Indian government & the law holds Ravi & his ...,Anjali Malhotra comes to India in search of her husband. But she has to face corruption everywhere and is left clueless about the mystery of her missing husband.,,Archana Joglekar|Akhilendra Mishra|Chetan Pandit|Ashok Samarth|Jackie Shroff|Shweta Tiwari|Ganesh Yadav|,,
Finding Fanny,tt3142688,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Finding_Fanny.jpg/220px-Finding_Fanny.jpg,https://en.wikipedia.org/wiki/Finding_Fanny,Finding Fanny,Finding Fanny,0.0,2014,102,Adventure|Comedy|Drama,5.8,5897.0,Late one night  an undelivered letter is returned to postmaster and singer Ferdinand 'Ferdie' Pinto. He realizes that his one true love Stefanie 'Fanny' Fernandes never received the marriage proposal he sent to her forty-six years earlier. Angie  a young widow and Ferdie's dear friend suggests they go on a road trip to find Fanny. Joining them on the journey is Rosie  Angie's mother-in-law; and Don Pedro  an artists who is keen to paint Rosie. Driving the car is Savio  the childhood friend whose heart Angie broke six years earlier when she married another.,A man embarks on a road trip to find his lost love.,If you're looking for love...get lost!,Deepika Padukone|Naseeruddin Shah|Basilo Dias|Kevin D'Mello|Urcelina Mascarenhas|Dimple Kapadia|Ankur Tewari|Anjali Patil|Ranveer Singh|Meher Verma|Pankaj Kapur|Anand Tiwari|Arjun Kapoor|Libert Olivera|,1 win & 23 nominations,12 September 2014 (USA)
Double Dhamaal,tt1728239,https://upload.wikimedia.org/wikipedia/en/thumb/c/ca/Double_dhamaal.jpg/220px-Double_dhamaal.jpg,https://en.wikipedia.org/wiki/Double_Dhamaal,Double Dhamaal,Double Dhamaal,0.0,2011,138,Comedy|Crime|Drama,3.8,3105.0,After losing a huge sum to a police officer  Kabir Nayak; four slackers: Aditya Shrivastav  Boman Contractor  Manav Shrivastav and Deshbandhu Roy find themselves unemployed and broke. Then they come upon Kabir  who apparently lives a wealthy lifestyle now along with his wife  Kamini  and sister  Kiya. They intrude in his life  find out he is having an affair with a woman named Gulabo  and blackmail him into making them partners. They also rope in a gangster-turned-Sadhu  Bata Bhai  into investing in an oil project - but are humiliated and go on the run after finding that Kabir has conned them. With an enraged Bata on their tail  the hapless foursome manage to escape to Macau with the help of a gangster  Mohsin Bhai. It is here they will run into Kabir - who is now the owner of 'Four Jokers' Casino - and make elaborate plans to avenge their humiliation as well as ensure that he winds up alone and penniless.,Four slackers decide to avenge their humiliation at the hands of a con-man.,,Sanjay Dutt|Riteish Deshmukh|Arshad Warsi|Javed Jaffrey|Aashish Chaudhary|Mallika Sherawat|Kangana Ranaut|Satish Kaushik|Zakir Hussain|,1 win & 1 nomination,1 July 2011 (USA)
Mastram,tt3431714,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/Mastram_poster.jpg/220px-Mastram_poster.jpg,https://en.wikipedia.org/wiki/Mastram,Mastram,Mastram,0.0,2013,98,Biography|Drama,4.8,414.0,How a clerk became an erotica writer.,How a clerk became an erotica writer.,,Rahul Bagga|Tara-Alisha Berry|Aakash Dahiya|Istiyak Khan|Aishwarya Mehta|Vinod Nahardih|,,9 May 2014 (India)
Tanu Weds Manu: Returns,tt2140465,https://upload.wikimedia.org/wikipedia/en/thumb/3/3f/Tanu_weds_Manu_poster.jpg/220px-Tanu_weds_Manu_poster.jpg,https://en.wikipedia.org/wiki/Tanu_Weds_Manu_Returns,Tanu Weds Manu Returns,Tanu Weds Manu Returns,0.0,2015,128,Comedy|Drama|Romance,7.7,24338.0,Tanu and Manu's marriage collapses. What happens when Manu meets Tanu's lookalike Kusum - and when Tanu returns?,Tanu and Manu's marriage collapses. What happens when Manu meets Tanu's lookalike Kusum - and when Tanu returns?,,Kangana Ranaut|Madhavan|Jimmy Sheirgill|Swara Bhaskar|Rajesh Sharma|Mohammed Zeeshan Ayyub|Eijaz Khan|Deepak Dobriyal|Manu Rishi Chadha|Raj Awasti|Gaurav Mishra|Aakash Dahiya|Alex Jaep|,11 wins & 15 nominations,22 May 2015 (USA)
Luv U Soniyo,tt2188811,https://upload.wikimedia.org/wikipedia/en/thumb/b/b6/Luv_U_Soniyo.Jpeg/220px-Luv_U_Soniyo.Jpeg,https://en.wikipedia.org/wiki/Luv_U_Soniyo,Luv U Soniyo,Luv U Soniyo,0.0,2012,144,Comedy|Romance,5.5,63.0,Mark & Soniyo  who after having been brought together by fate have to win over their parents consent. Their cultures clash in every possible way & just when fate decides to turn the game around  all they have is their faith in each other & a little help from their friends.,Mark & Soniyo  after having been brought together by fate  have to win over their parents consent.,,Tanuj Virwani|Neha Hinge|Bunty Grewal|Shobhit Khanduri|Vivek Vaswani|Howard Rosemeyer|Suresh Menon|Aditya Shivkumar|,,26 July 2013 (India)
