raw,imdb_id,original_title
"```json
{
  ""hindu_muslim"": ""Neutral"",
  ""gender"": ""Progressive"",
  ""nationalism"": ""Positive"",
  ""caste"": ""Challenging""
}
```",tt10324144,
"```json
{
  ""hindu_muslim"": ""Inclusive"",
  ""gender"": ""Neutral"",
  ""nationalism"": ""Neutral"",
  ""caste"": ""Neutral""
}
```",tt10443846,
"```json
{
  ""hindu_muslim"": ""Neutral"",
  ""gender"": ""Progressive"",
  ""nationalism"": ""Positive"",
  ""caste"": ""Challenging""
}
```",tt10816510,
"```json
{
  ""hindu_muslim"": ""Exclusionary"",
  ""gender"": ""Conservative"",
  ""nationalism"": ""Neutral"",
  ""caste"": ""Neutral""
}
```",tt11007050,
"```json
{
  ""hindu_muslim"": ""Neutral"",
  ""gender"": ""Conservative"",
  ""nationalism"": ""Neutral"",
  ""caste"": ""Neutral""
}
```",tt11046300,
"```json
{
  ""hindu_muslim"": ""Neutral"",
  ""gender"": ""Neutral"",
  ""nationalism"": ""Neutral"",
  ""caste"": ""Neutral""
}
```",tt1194236,
"```json
{
  ""hindu_muslim"": ""Neutral"",
  ""gender"": ""Progressive"",
  ""nationalism"": ""Neutral"",
  ""caste"": ""Neutral""
}
```",tt1437367,
"```json
{
  ""hindu_muslim"": ""Neutral"",
  ""gender"": ""Conservative"",
  ""nationalism"": ""Neutral"",
  ""caste"": ""Neutral""
}
```",tt1455816,
"```json
{
  ""hindu_muslim"": ""Exclusionary"",
  ""gender"": ""Conservative"",
  ""nationalism"": ""Negative"",
  ""caste"": ""Neutral""
}
```",tt1535467,
"```json
{
  ""hindu_muslim"": ""Neutral"",
  ""gender"": ""Neutral"",
  ""nationalism"": ""Neutral"",
  ""caste"": ""Neutral""
}
```",tt1573482,
"```json
{
  ""hindu_muslim"": ""Inclusive"",
  ""gender"": ""Progressive"",
  ""nationalism"": ""Positive"",
  ""caste"": ""Neutral""
}
```",tt1578261,
"```json
{
  ""hindu_muslim"": ""Neutral"",
  ""gender"": ""Neutral"",
  ""nationalism"": ""Neutral"",
  ""caste"": ""Neutral""
}
```",tt1606162,
"```json
{
  ""hindu_muslim"": ""Neutral"",
  ""gender"": ""Progressive"",
  ""nationalism"": ""Neutral"",
  ""caste"": ""Neutral""
}
```",tt1607607,
"```json
{
  ""hindu_muslim"": ""Neutral"",
  ""gender"": ""Progressive"",
  ""nationalism"": ""Neutral"",
  ""caste"": ""Challenging""
}
```",tt1629376,
"```json
{
  ""hindu_muslim"": ""Neutral"",
  ""gender"": ""Progressive"",
  ""nationalism"": ""Neutral"",
  ""caste"": ""Neutral""
}
```",tt1694542,
"```json
{
  ""hindu_muslim"": ""Neutral"",
  ""gender"": ""Conservative"",
  ""nationalism"": ""Neutral"",
  ""caste"": ""Neutral""
}
```",tt1728239,
"```json
{
  ""hindu_muslim"": ""Neutral"",
  ""gender"": ""Neutral"",
  ""nationalism"": ""Positive"",
  ""caste"": ""Neutral""
}
```",tt1736552,
"```json
{
  ""hindu_muslim"": ""Neutral"",
  ""gender"": ""Progressive"",
  ""nationalism"": ""Negative"",
  ""caste"": ""Neutral""
}
```",tt1784589,
"```json
{
  ""hindu_muslim"": ""Neutral"",
  ""gender"": ""Progressive"",
  ""nationalism"": ""Neutral"",
  ""caste"": ""Neutral""
}
```",tt1826051,
"```json
{
  ""hindu_muslim"": ""Neutral"",
  ""gender"": ""Progressive"",
  ""nationalism"": ""Positive"",
  ""caste"": ""Challenging""
}
```",tt1848771,
"```json
{
  ""hindu_muslim"": ""Neutral"",
  ""gender"": ""Progressive"",
  ""nationalism"": ""Neutral"",
  ""caste"": ""Neutral""
}
```",tt1877691,
"```json
{
  ""hindu_muslim"": ""Neutral"",
  ""gender"": ""Progressive"",
  ""nationalism"": ""Neutral"",
  ""caste"": ""Neutral""
}
```",tt1954598,
"```json
{
  ""hindu_muslim"": ""Inclusive"",
  ""gender"": ""Neutral"",
  ""nationalism"": ""Negative"",
  ""caste"": ""Challenging""
}
```",tt2063745,
"```json
{
  ""hindu_muslim"": ""Neutral"",
  ""gender"": ""Conservative"",
  ""nationalism"": ""Neutral"",
  ""caste"": ""Challenging""
}
```",tt2073070,
"```json
{
  ""hindu_muslim"": ""Neutral"",
  ""gender"": ""Progressive"",
  ""nationalism"": ""Neutral"",
  ""caste"": ""Neutral""
}
```",tt2094854,
"```json
{
  ""hindu_muslim"": ""Neutral"",
  ""gender"": ""Neutral"",
  ""nationalism"": ""Neutral"",
  ""caste"": ""Neutral""
}
```",tt2106537,
"```json
{
  ""hindu_muslim"": ""Neutral"",
  ""gender"": ""Neutral"",
  ""nationalism"": ""Neutral"",
  ""caste"": ""Neutral""
}
```",tt2140465,
"```json
{
  ""hindu_muslim"": ""Neutral"",
  ""gender"": ""Neutral"",
  ""nationalism"": ""Neutral"",
  ""caste"": ""Neutral""
}
```",tt2140465,
"```json
{
  ""hindu_muslim"": ""Neutral"",
  ""gender"": ""Conservative"",
  ""nationalism"": ""Positive"",
  ""caste"": ""Neutral""
}
```",tt2158633,
"```json
{
  ""hindu_muslim"": ""Neutral"",
  ""gender"": ""Neutral"",
  ""nationalism"": ""Neutral"",
  ""caste"": ""Neutral""
}
```",tt2171454,
"Based on the text provided, here is the analysis:

The provided text consists of HTML code and a very generic movie description. The description (""An uncompromising film on true love from the legendary and unforgettable director Yash Chopra which is fascinatingly distinctive and contemporary."") offers no specific details about the plot, characters, or social context. Therefore, it is not possible to make a definitive judgment on the specific themes requested. The coding reflects the absence of information in the text.

```json
{
  ""hindu_muslim"": ""Neutral"",
  ""gender"": ""Neutral"",
  ""nationalism"": ""Neutral"",
  ""caste"": ""Neutral""
}
```",tt2176013,
